,tweet,is_sarcastic,no_stopwords,tokenized,tokenized_no_stopwords
11,blowing up hannies phone right meow ðÿ˜ˆ so many thoughts to speak! ,1,blowing hannies phone right meow ðÿ˜ˆ many thoughts speak!,blowing up hannies phone right meow ðÿ˜ˆ so many thoughts to speak !,blowing hannies phone right meow ðÿ˜ˆ many thoughts speak !
12,"ðÿ˜‹ðÿ’• absolutely beautiful! and so lovely, spoken and seen you a few times but should definitely try to speak a bit more or something x ",0,"ðÿ˜‹ðÿ’• absolutely beautiful! lovely, spoken seen times definitely try speak bit something x","ðÿ˜‹ðÿ ’ • absolutely beautiful ! and so lovely , spoken and seen you a few times but should definitely try to speak a bit more or something x","ðÿ˜‹ðÿ ’ • absolutely beautiful ! lovely , spoken seen times definitely try speak bit something x"
13,"every since 11th grade i speak to everyone the say way. so if you ask me ""would you speak to your mother the same way"" my answer is yes.",0,"every since 11th grade speak everyone say way. ask ""would speak mother way"" answer yes.",every since 11th grade i speak to everyone the say way . so if you ask me `` would you speak to your mother the same way '' my answer is yes .,every since 11th grade speak everyone say way . ask `` would speak mother way '' answer yes .
14,action speak audible than words you know akr so i rather gesture than ke bue now and not be able to convince you bua pele ,0,action speak audible words know akr rather gesture ke bue able convince bua pele,action speak audible than words you know akr so i rather gesture than ke bue now and not be able to convince you bua pele,action speak audible words know akr rather gesture ke bue able convince bua pele
15,"good! how are you too? i've always wanted to speak to foreigner!! i'm so grad. if you don't mind, shall we talk from now on? ",0,"good! too? i've always wanted speak foreigner!! i'm grad. mind, shall talk on?","good ! how are you too ? i 've always wanted to speak to foreigner ! ! i 'm so grad . if you do n't mind , shall we talk from now on ?","good ! too ? i 've always wanted speak foreigner ! ! i 'm grad . mind , shall talk on ?"
16,"so apparently im not to speak to my mum anymore. oh, alright ",0,"apparently im speak mum anymore. oh, alright","so apparently im not to speak to my mum anymore . oh , alright","apparently im speak mum anymore . oh , alright"
17,im glad that other people care enough about me to know what happened better than i do.      ,1,im glad people care enough know happened better do.,im glad that other people care enough about me to know what happened better than i do .,im glad people care enough know happened better do .
18,"idgaf , what people have to say now . bc yal say shit when im not there but when im present you dont speak tf up . so stfu and sit down . ",0,"idgaf , people say . bc yal say shit im im present dont speak tf . stfu sit .","idgaf , what people have to say now . bc yal say shit when im not there but when im present you dont speak tf up . so stfu and sit down .","idgaf , people say . bc yal say shit im im present dont speak tf . stfu sit ."
19,"i love music and i love photography so to me pictures speak where words can't, music is just the ballad to my life. ",0,"love music love photography pictures speak words can't, music ballad life.","i love music and i love photography so to me pictures speak where words ca n't , music is just the ballad to my life .","love music love photography pictures speak words ca n't , music ballad life ."
20,"danny welbeck is definitely arsenal's ""sturridge"" #not! ",1,"danny welbeck definitely arsenal's ""sturridge"" #not!",danny welbeck is definitely arsenal 's `` sturridge '' # not !,danny welbeck definitely arsenal 's `` sturridge '' # not !
21,i am absolutely #not trying to fit in! #leadloudly #success #unstoppable ,1,absolutely #not trying fit in! #leadloudly #success #unstoppable,i am absolutely # not trying to fit in ! # leadloudly # success # unstoppable,absolutely # not trying fit in ! # leadloudly # success # unstoppable
22,"i love these boys so much and i'd be so grateful for the opportunity to speak to them, please #bumps5sosfancalls  48",1,"love boys much i'd grateful opportunity speak them, please #bumps5sosfancalls 48","i love these boys so much and i 'd be so grateful for the opportunity to speak to them , please # bumps5sosfancalls 48","love boys much i 'd grateful opportunity speak them , please # bumps5sosfancalls 48"
23,good way to end my night #not ,1,good way end night #not,good way to end my night # not,good way end night # not
24,i miss you #not ,1,miss #not,i miss you # not,miss # not
25,don't you love when people cancel?ðÿ˜³ i doðÿ’ ,1,love people cancel?ðÿ˜³ doðÿ’,do n't you love when people cancel ? ðÿ˜³ i doðÿ ’ ,love people cancel ? ðÿ˜³ doðÿ ’ 
26,danny welbeck has been a great signing  #arsenal ,1,danny welbeck great signing #arsenal,danny welbeck has been a great signing # arsenal,danny welbeck great signing # arsenal
27,everything you need to know about the new #pinterest analytics: #socialmedia #social #media #tracking ,0,everything need know new #pinterest analytics: #socialmedia #social #media #tracking,everything you need to know about the new # pinterest analytics : # socialmedia # social # media # tracking,everything need know new # pinterest analytics : # socialmedia # social # media # tracking
28,when i speak politly to people they understand wrong so ill be rude ,0,speak politly people understand wrong ill rude,when i speak politly to people they understand wrong so ill be rude,speak politly people understand wrong ill rude
29,"i just love it when i dont have air in my car, and my driver's side window doesnt roll down. #not #itsfuckinghot #pos ",1,"love dont air car, driver's side window doesnt roll down. #not #itsfuckinghot #pos","i just love it when i dont have air in my car , and my driver 's side window doesnt roll down . # not # itsfuckinghot # pos","love dont air car , driver 's side window doesnt roll down . # not # itsfuckinghot # pos"
30,my most favorite view when i'm trying to get to work #grrr      ,1,favorite view i'm trying get work #grrr,my most favorite view when i 'm trying to get to work # grrr,favorite view i 'm trying get work # grrr
31,"i have a quiz in an hour. thanks ""professor"" for the vague expectations on how to prepare for it. #not ",1,"quiz hour. thanks ""professor"" vague expectations prepare it. #not",i have a quiz in an hour . thanks `` professor '' for the vague expectations on how to prepare for it . # not,quiz hour . thanks `` professor '' vague expectations prepare it . # not
32,i love getting to navarre just in time to see an awesome waterspout! #not #iwantedtolayout #paleproblems ,1,love getting navarre time see awesome waterspout! #not #iwantedtolayout #paleproblems,i love getting to navarre just in time to see an awesome waterspout ! # not # iwantedtolayout # paleproblems,love getting navarre time see awesome waterspout ! # not # iwantedtolayout # paleproblems
33,my favorite part about getting my oil changed is how long it takes.  #imeantheoppositeofwhatwassaid ,1,favorite part getting oil changed long takes. #imeantheoppositeofwhatwassaid,my favorite part about getting my oil changed is how long it takes . # imeantheoppositeofwhatwassaid,favorite part getting oil changed long takes . # imeantheoppositeofwhatwassaid
34,some people just suck the fun right of sarcasm when they don't understand that you're making fun of them      ,1,people suck fun right sarcasm understand making fun,some people just suck the fun right of sarcasm when they do n't understand that you 're making fun of them,people suck fun right sarcasm understand making fun
35,bitch at subway had hickeys on her neck... that's so attractive...#not ,1,bitch subway hickeys neck... that's attractive...#not,bitch at subway had hickeys on her neck ... that 's so attractive ... # not,bitch subway hickeys neck ... that 's attractive ... # not
36,and my professor told me to stay after lab today so she can speak to me ðÿ˜” ,1,professor told stay lab today speak ðÿ˜”,and my professor told me to stay after lab today so she can speak to me ðÿ˜ ”,professor told stay lab today speak ðÿ˜ ”
37,i love being the first to make plans with people. #not ,1,love first make plans people. #not,i love being the first to make plans with people . # not,love first make plans people . # not
38,at school at 7 in the morning and there's no place i'd rather be ðÿ˜ƒðÿ˜ƒðÿ˜ƒ #not,1,school 7 morning there's place i'd rather ðÿ˜ƒðÿ˜ƒðÿ˜ƒ #not,at school at 7 in the morning and there 's no place i 'd rather be ðÿ˜ƒðÿ˜ƒðÿ˜ƒ # not,school 7 morning there 's place i 'd rather ðÿ˜ƒðÿ˜ƒðÿ˜ƒ # not
39,i just love working at mcdonalds so much lol i think i'm just gonna work here forever  lol #work ,1,love working mcdonalds much lol think i'm gonna work forever lol #work,i just love working at mcdonalds so much lol i think i 'm just gon na work here forever lol # work,love working mcdonalds much lol think i 'm gon na work forever lol # work
40,there is so many awesome accounts that i want to speak to but i don't dare talk to them ,0,many awesome accounts want speak dare talk,there is so many awesome accounts that i want to speak to but i do n't dare talk to them,many awesome accounts want speak dare talk
41,"i'm impressed in a way that you got to speak. we got, the 'speak to me, don't speak to me' so we never knew which. same result ",0,"i'm impressed way got speak. got, 'speak me, speak me' never knew which. result","i 'm impressed in a way that you got to speak . we got , the 'speak to me , do n't speak to me ' so we never knew which . same result","i 'm impressed way got speak . got , 'speak me , speak me ' never knew which . result"
42,my friend doesnt know how to speak to me without mentioning that she had a boyfriend thanks so much for throwing it in my face 35/8 awesome,0,friend doesnt know speak without mentioning boyfriend thanks much throwing face 35/8 awesome,my friend doesnt know how to speak to me without mentioning that she had a boyfriend thanks so much for throwing it in my face 35/8 awesome,friend doesnt know speak without mentioning boyfriend thanks much throwing face 35/8 awesome
43,i'm going to live my life be who i want to be with speak and be friends with whoever i want to and you have no say so quit stressing off me. ,1,i'm going live life want speak friends whoever want say quit stressing me.,i 'm going to live my life be who i want to be with speak and be friends with whoever i want to and you have no say so quit stressing off me .,i 'm going live life want speak friends whoever want say quit stressing me .
44,you've done enough damage to us all. you don't speak for us so you don't sign for us. traitor. ,0,done enough damage us all. speak us sign us. traitor.,you 've done enough damage to us all . you do n't speak for us so you do n't sign for us . traitor .,done enough damage us all . speak us sign us . traitor .
45,everyone here is so rude to me anyway. not to generalise a nation but you don't need to speak down to me just cause i have a thick accent ðÿ—ðÿ˜      ,1,everyone rude anyway. generalise nation need speak cause thick accent ðÿ—ðÿ˜,everyone here is so rude to me anyway . not to generalise a nation but you do n't need to speak down to me just cause i have a thick accent ðÿ—ðÿ˜,everyone rude anyway . generalise nation need speak cause thick accent ðÿ—ðÿ˜
46,i mean i did just say i forgot ...... so that must have meant at one point i knew how to speak ðÿ’€ ,1,mean say forgot ...... must meant one point knew speak ðÿ’€,i mean i did just say i forgot ...... so that must have meant at one point i knew how to speak ðÿ ’ €,mean say forgot ...... must meant one point knew speak ðÿ ’ €
47,god's trying to speak to us through our #dreams. they're not for everyone else to know unless he says so. so i started fasting: #revelation. ,0,god's trying speak us #dreams. they're everyone else know unless says so. started fasting: #revelation.,god 's trying to speak to us through our # dreams . they 're not for everyone else to know unless he says so . so i started fasting : # revelation .,god 's trying speak us # dreams . they 're everyone else know unless says so . started fasting : # revelation .
48,so they should act like a d1...or its it merely marketing speak to encourge markets to turnout,0,act like d1...or merely marketing speak encourge markets turnout,so they should act like a d1 ... or its it merely marketing speak to encourge markets to turnout,act like d1 ... or merely marketing speak encourge markets turnout
49,i just went off so quick on this man that walked up behind to shaking my chair to speak ðÿ˜¡! ,0,went quick man walked behind shaking chair speak ðÿ˜¡!,i just went off so quick on this man that walked up behind to shaking my chair to speak ðÿ˜¡ !,went quick man walked behind shaking chair speak ðÿ˜¡ !
50,haha! silver spoon! : that'll work. care deeply about the #poor. #cdnpoli #hw  #povertyreduction ,1,haha! silver spoon! : work. care deeply #poor. #cdnpoli #hw #povertyreduction,haha ! silver spoon ! : that 'll work . care deeply about the # poor . # cdnpoli # hw # povertyreduction,haha ! silver spoon ! : work . care deeply # poor . # cdnpoli # hw # povertyreduction
51,"another dvd night, wow aren't i living the student life  #bored ",1,"another dvd night, wow living student life #bored","another dvd night , wow are n't i living the student life # bored","another dvd night , wow living student life # bored"
52,"he's committed a crime against society, society deserves to speak its mind but should not do so impulsively. ",0,"he's committed crime society, society deserves speak mind impulsively.","he 's committed a crime against society , society deserves to speak its mind but should not do so impulsively .","he 's committed crime society , society deserves speak mind impulsively ."
53,glad the first floor of potomac smells like straight vodka #not ,1,glad first floor potomac smells like straight vodka #not,glad the first floor of potomac smells like straight vodka # not,glad first floor potomac smells like straight vodka # not
54,having to google the meaning of at least one word per page of the book i'm reading #thinkiamclever #not ,1,google meaning least one word per page book i'm reading #thinkiamclever #not,having to google the meaning of at least one word per page of the book i 'm reading # thinkiamclever # not,google meaning least one word per page book i 'm reading # thinkiamclever # not
55,i'm glad that was taken away from me after it was promised.      ,1,i'm glad taken away promised.,i 'm glad that was taken away from me after it was promised .,i 'm glad taken away promised .
56,i absolutely love getting overdraft statements in the mail #not ,1,absolutely love getting overdraft statements mail #not,i absolutely love getting overdraft statements in the mail # not,absolutely love getting overdraft statements mail # not
57,"had a record four shots tonight. i know, i'm such a pro. tweet ",1,"record four shots tonight. know, i'm pro. tweet","had a record four shots tonight . i know , i 'm such a pro . tweet","record four shots tonight . know , i 'm pro . tweet"
58,by the time i finish this rhyme you ain't gonna have time to try so please young man please feel free to speak your mind ,0,time finish rhyme ain't gonna time try please young man please feel free speak mind,by the time i finish this rhyme you ai n't gon na have time to try so please young man please feel free to speak your mind,time finish rhyme ai n't gon na time try please young man please feel free speak mind
59,if you understand spanish i told you on english you're a fucktard so let to speak with my best friend and me bye and thanks ,0,understand spanish told english fucktard let speak best friend bye thanks,if you understand spanish i told you on english you 're a fucktard so let to speak with my best friend and me bye and thanks,understand spanish told english fucktard let speak best friend bye thanks
60,i love it when avocados are mushy on one side and completely unripe on the other. #eyeroll  #howdoesthatevenhappenanyway ,1,love avocados mushy one side completely unripe other. #eyeroll #howdoesthatevenhappenanyway,i love it when avocados are mushy on one side and completely unripe on the other . # eyeroll # howdoesthatevenhappenanyway,love avocados mushy one side completely unripe other . # eyeroll # howdoesthatevenhappenanyway
61,i can't wait to speak to my baby today so she can tell me how her day was ,0,can't wait speak baby today tell day,i ca n't wait to speak to my baby today so she can tell me how her day was,ca n't wait speak baby today tell day
62,why pakistani media give so much importance to altaf hussain. all channels showing his video speech. drunk bastard he can't even speak ,0,pakistani media give much importance altaf hussain. channels showing video speech. drunk bastard can't even speak,why pakistani media give so much importance to altaf hussain . all channels showing his video speech . drunk bastard he ca n't even speak,pakistani media give much importance altaf hussain . channels showing video speech . drunk bastard ca n't even speak
63,i'm glad i pay almost 4 grand for this class just for the professor to read me the documents he posted on blackboard. #soworthit,1,i'm glad pay almost 4 grand class professor read documents posted blackboard. #soworthit,i 'm glad i pay almost 4 grand for this class just for the professor to read me the documents he posted on blackboard . # soworthit,i 'm glad pay almost 4 grand class professor read documents posted blackboard . # soworthit
64,going to a study session drunk. #gotmylifetogether #not ,1,going study session drunk. #gotmylifetogether #not,going to a study session drunk . # gotmylifetogether # not,going study session drunk . # gotmylifetogether # not
65,you want to know about us? so i speak.i'm homra. we are homra! -yata misaki ,0,want know us? speak.i'm homra. homra! -yata misaki,you want to know about us ? so i speak.i 'm homra . we are homra ! -yata misaki,want know us ? speak.i 'm homra . homra ! -yata misaki
66,actions will always speak to me so stfu w the bullshit âœœï¸ ,0,actions always speak stfu w bullshit âœœï¸,actions will always speak to me so stfu w the bullshit âœœï¸,actions always speak stfu w bullshit âœœï¸
67,i just wanna see if she gon play hard to get so i can have a reason not to speak ,0,wanna see gon play hard get reason speak,i just wan na see if she gon play hard to get so i can have a reason not to speak,wan na see gon play hard get reason speak
68,i just love starting out my morning with hard ass gsci exam ðÿ˜ #somuchanger ,1,love starting morning hard ass gsci exam ðÿ˜ #somuchanger,i just love starting out my morning with hard ass gsci exam ðÿ˜ # somuchanger,love starting morning hard ass gsci exam ðÿ˜ # somuchanger
69,thanks so much great to speak to you. stay in touch! ,0,thanks much great speak you. stay touch!,thanks so much great to speak to you . stay in touch !,thanks much great speak you . stay touch !
70,i love how people in my school think it's a joke that someone wants to get involved in charity. #not ,1,love people school think joke someone wants get involved charity. #not,i love how people in my school think it 's a joke that someone wants to get involved in charity . # not,love people school think joke someone wants get involved charity . # not
71,great way to end the day #not ,1,great way end day #not,great way to end the day # not,great way end day # not
72,having two days off means leaving the office at 11pm on a monday. cool! #notcool  #woe,1,two days means leaving office 11pm monday. cool! #notcool #woe,having two days off means leaving the office at 11pm on a monday . cool ! # notcool # woe,two days means leaving office 11pm monday . cool ! # notcool # woe
73,"hi jacob, when are you free so need to speak with you my brother re all things discussed at launch lol! holla at me asap plse ",0,"hi jacob, free need speak brother things discussed launch lol! holla asap plse","hi jacob , when are you free so need to speak with you my brother re all things discussed at launch lol ! holla at me asap plse","hi jacob , free need speak brother things discussed launch lol ! holla asap plse"
74,i love college ðÿ˜šðÿ˜ #not ,1,love college ðÿ˜šðÿ˜ #not,i love college ðÿ˜šðÿ˜ # not,love college ðÿ˜šðÿ˜ # not
75,i have twitter. #twitter maybe i'll make friends. #friends but probably not. #not ,1,twitter. #twitter maybe i'll make friends. #friends probably not. #not,i have twitter . # twitter maybe i 'll make friends . # friends but probably not . # not,twitter . # twitter maybe i 'll make friends . # friends probably not . # not
76,the silent treatment hurts so much that i rather argue to have you just speak to me ,0,silent treatment hurts much rather argue speak,the silent treatment hurts so much that i rather argue to have you just speak to me,silent treatment hurts much rather argue speak
77,i follow so many ppl on social networks but they look in my face but don't speak . it's okay to speak i don't bit ! ,0,follow many ppl social networks look face speak . okay speak bit !,i follow so many ppl on social networks but they look in my face but do n't speak . it 's okay to speak i do n't bit !,follow many ppl social networks look face speak . okay speak bit !
78,"congratulations to katrina spooner, who has been asked to speak at the eldercouncil this friday! we are so proud... ",0,"congratulations katrina spooner, asked speak eldercouncil friday! proud...","congratulations to katrina spooner , who has been asked to speak at the eldercouncil this friday ! we are so proud ...","congratulations katrina spooner , asked speak eldercouncil friday ! proud ..."
79,adult halloween costumes are literally just kid-sized costumes that are marketed as sexy #annoying #notcoolguys #halloweenprobs ,1,adult halloween costumes literally kid-sized costumes marketed sexy #annoying #notcoolguys #halloweenprobs,adult halloween costumes are literally just kid-sized costumes that are marketed as sexy # annoying # notcoolguys # halloweenprobs,adult halloween costumes literally kid-sized costumes marketed sexy # annoying # notcoolguys # halloweenprobs
80,feels so cool being able to speak to the natives en espanol! i wish i knew catalan ,0,feels cool able speak natives en espanol! wish knew catalan,feels so cool being able to speak to the natives en espanol ! i wish i knew catalan,feels cool able speak natives en espanol ! wish knew catalan
81,"being dry with me is a pet peeve , dont act like im forcing you to speak to me. so i just won't reply . ",1,"dry pet peeve , dont act like im forcing speak me. reply .","being dry with me is a pet peeve , dont act like im forcing you to speak to me . so i just wo n't reply .","dry pet peeve , dont act like im forcing speak me . reply ."
82,i literally do not understand rush hour traffic. the tollway is huge. why do i just sit here? #therearenoaccidents #ridiculous #notok ,1,literally understand rush hour traffic. tollway huge. sit here? #therearenoaccidents #ridiculous #notok,i literally do not understand rush hour traffic . the tollway is huge . why do i just sit here ? # therearenoaccidents # ridiculous # notok,literally understand rush hour traffic . tollway huge . sit here ? # therearenoaccidents # ridiculous # notok
83,glad i can speak spanish. being able to only speak one language must be so boring ðÿ’¤ ,0,glad speak spanish. able speak one language must boring ðÿ’¤,glad i can speak spanish . being able to only speak one language must be so boring ðÿ ’ ¤,glad speak spanish . able speak one language must boring ðÿ ’ ¤
84,i'm executing my fathers estate and need to speak with somebody so i'll call later. thanks. ,1,i'm executing fathers estate need speak somebody i'll call later. thanks.,i 'm executing my fathers estate and need to speak with somebody so i 'll call later . thanks .,i 'm executing fathers estate need speak somebody i 'll call later . thanks .
85,"hi if you call into our travel shop with ticket we'll re-imburse difference, sorry! what time 15 was that? so we can speak to dvr",0,"hi call travel shop ticket we'll re-imburse difference, sorry! time 15 that? speak dvr","hi if you call into our travel shop with ticket we 'll re-imburse difference , sorry ! what time 15 was that ? so we can speak to dvr","hi call travel shop ticket we 'll re-imburse difference , sorry ! time 15 that ? speak dvr"
86,getting high of morphine at the hospital #lifegoals ,1,getting high morphine hospital #lifegoals,getting high of morphine at the hospital # lifegoals,getting high morphine hospital # lifegoals
87,i love it when i don't get paid for the hard work i do at my job!!!      ,1,love get paid hard work job!!!,i love it when i do n't get paid for the hard work i do at my job ! ! !,love get paid hard work job ! ! !
88,"talking about #customerexperience this and that, why don't we just give away money!! i'm sure the #shareholders would love that!      ",1,"talking #customerexperience that, give away money!! i'm sure #shareholders would love that!","talking about # customerexperience this and that , why do n't we just give away money ! ! i 'm sure the # shareholders would love that !","talking # customerexperience that , give away money ! ! i 'm sure # shareholders would love that !"
89,i'm so fucking liberated to speak my mind. it took for me to become a writer to do it. ,0,i'm fucking liberated speak mind. took become writer it.,i 'm so fucking liberated to speak my mind . it took for me to become a writer to do it .,i 'm fucking liberated speak mind . took become writer it .
90,i'll just eat a few then i'll put them away #yeahright ,1,i'll eat i'll put away #yeahright,i 'll just eat a few then i 'll put them away # yeahright,i 'll eat i 'll put away # yeahright
91,glad i waited til 2 hours before i have lab then have to immediately do my seminar on my research to start it. #imsmart #not,1,glad waited til 2 hours lab immediately seminar research start it. #imsmart #not,glad i waited til 2 hours before i have lab then have to immediately do my seminar on my research to start it . # imsmart # not,glad waited til 2 hours lab immediately seminar research start it . # imsmart # not
92,i just love sleeping thru alarms and nor going to classes im paying thousandths for #not ,1,love sleeping thru alarms going classes im paying thousandths #not,i just love sleeping thru alarms and nor going to classes im paying thousandths for # not,love sleeping thru alarms going classes im paying thousandths # not
93,i just love how people try to tell me how i should feel. #not ,1,love people try tell feel. #not,i just love how people try to tell me how i should feel . # not,love people try tell feel . # not
94,i literally almost get in a car accident at least once a day... #stjohnstraffic #notmyfault #crazydrivers ,1,literally almost get car accident least day... #stjohnstraffic #notmyfault #crazydrivers,i literally almost get in a car accident at least once a day ... # stjohnstraffic # notmyfault # crazydrivers,literally almost get car accident least day ... # stjohnstraffic # notmyfault # crazydrivers
95,nothing like starting your monday morning with a 4 hour test... #not ðÿ˜­,1,nothing like starting monday morning 4 hour test... #not ðÿ˜­,nothing like starting your monday morning with a 4 hour test ... # not ðÿ˜­,nothing like starting monday morning 4 hour test ... # not ðÿ˜­
96,any land in which parents do not have first and last authority over what and how their children learn #is #not #free. âœ¿ anthony esolen ,1,land parents first last authority children learn #is #not #free. âœ¿ anthony esolen,any land in which parents do not have first and last authority over what and how their children learn # is # not # free . âœ¿ anthony esolen,land parents first last authority children learn # is # not # free . âœ¿ anthony esolen
97,i feel so lucky to say that i was able to hear speak to rcah today! thank you !!! ,0,feel lucky say able hear speak rcah today! thank !!!,i feel so lucky to say that i was able to hear speak to rcah today ! thank you ! ! !,feel lucky say able hear speak rcah today ! thank ! ! !
98,every aquarius i know sounds so funny when we try to speak current slang... ,0,every aquarius know sounds funny try speak current slang...,every aquarius i know sounds so funny when we try to speak current slang ...,every aquarius know sounds funny try speak current slang ...
99,i decided to speak english so much.who want to do the same thing? ,0,decided speak english much.who want thing?,i decided to speak english so much.who want to do the same thing ?,decided speak english much.who want thing ?
100,"going to be so cute! xd sometimes he sullenly refuse to speak when he gets angry with her, elsa has a rough time! haha x) ",0,"going cute! xd sometimes sullenly refuse speak gets angry her, elsa rough time! haha x)","going to be so cute ! xd sometimes he sullenly refuse to speak when he gets angry with her , elsa has a rough time ! haha x )","going cute ! xd sometimes sullenly refuse speak gets angry her , elsa rough time ! haha x )"
101,if you're going to speak about me in a lesson at least talk quieter so i don't hear youðÿ’ ,0,going speak lesson least talk quieter hear youðÿ’,if you 're going to speak about me in a lesson at least talk quieter so i do n't hear youðÿ ’ ,going speak lesson least talk quieter hear youðÿ ’ 
102,i just love getting a play-by-play of daves life i'm on snapchat #not ,1,love getting play-by-play daves life i'm snapchat #not,i just love getting a play-by-play of daves life i 'm on snapchat # not,love getting play-by-play daves life i 'm snapchat # not
103,these children haha. i'm still a kid so i have no room to speak. ,0,children haha. i'm still kid room speak.,these children haha . i 'm still a kid so i have no room to speak .,children haha . i 'm still kid room speak .
104,"i'm so fed up with everything, omw to the bud mans house as we speak ",0,"i'm fed everything, omw bud mans house speak","i 'm so fed up with everything , omw to the bud mans house as we speak","i 'm fed everything , omw bud mans house speak"
105,i am so fucking depressed. listening to alan cochrane speak is like listening to darth fucking vader after an intelligence bypass. #indyref ,1,fucking depressed. listening alan cochrane speak like listening darth fucking vader intelligence bypass. #indyref,i am so fucking depressed . listening to alan cochrane speak is like listening to darth fucking vader after an intelligence bypass . # indyref,fucking depressed . listening alan cochrane speak like listening darth fucking vader intelligence bypass . # indyref
106,wanted to speak to someone about making a complaint but on my mobile so would prefer not to ring an 0800 number.,0,wanted speak someone making complaint mobile would prefer ring 0800 number.,wanted to speak to someone about making a complaint but on my mobile so would prefer not to ring an 0800 number .,wanted speak someone making complaint mobile would prefer ring 0800 number .
107,i'm going to be so late on getting ios 8 #yayyy #not #ios8 #nothappy,1,i'm going late getting ios 8 #yayyy #not #ios8 #nothappy,i 'm going to be so late on getting ios 8 # yayyy # not # ios8 # nothappy,i 'm going late getting ios 8 # yayyy # not # ios8 # nothappy
108,about to hear robert shiller speak at my school so that's pretty awesome. ,0,hear robert shiller speak school that's pretty awesome.,about to hear robert shiller speak at my school so that 's pretty awesome .,hear robert shiller speak school that 's pretty awesome .
109,so apparently you used to speak to connor maynardðÿ˜‚ðÿ˜‚ðÿ˜‚ðÿ˜‚ ,0,apparently used speak connor maynardðÿ˜‚ðÿ˜‚ðÿ˜‚ðÿ˜‚,so apparently you used to speak to connor maynardðÿ˜‚ðÿ˜‚ðÿ˜‚ðÿ˜‚,apparently used speak connor maynardðÿ˜‚ðÿ˜‚ðÿ˜‚ðÿ˜‚
110,sometimes i say things and im like wow why did god give me the ability to speak im so dumb ,0,sometimes say things im like wow god give ability speak im dumb,sometimes i say things and im like wow why did god give me the ability to speak im so dumb,sometimes say things im like wow god give ability speak im dumb
111,"&amp; i wouldn't want my son not to speak spanish , proper spanish. so i'm trying to do all spanish rn . he speaks both tho ",0,"&amp; want son speak spanish , proper spanish. i'm trying spanish rn . speaks tho","& amp ; i would n't want my son not to speak spanish , proper spanish . so i 'm trying to do all spanish rn . he speaks both tho","& amp ; want son speak spanish , proper spanish . i 'm trying spanish rn . speaks tho"
